time,temperature_2m_c,shortwave_radiation_w_m2,source,pv_kwh_el,heating_kwh_th,heating_kwh_el,balance_kwh_el,deficit_kwh_el,surplus_kwh_el,direct_overlap_kwh_el
2001-01-03 07:00:00,-4.00000000,16.00000000,energyplus_epw,0.08640000,2.64000000,0.88000000,-0.79360000,0.79360000,0.00000000,0.08640000
2001-01-03 08:00:00,-3.00000000,97.00000000,energyplus_epw,0.52380000,2.52000000,0.84000000,-0.31620000,0.31620000,0.00000000,0.52380000
2001-01-03 09:00:00,-1.80000000,177.00000000,energyplus_epw,0.95580000,2.37600000,0.79200000,0.16380000,0.00000000,0.16380000,0.79200000
2001-01-03 10:00:00,0.30000000,240.00000000,energyplus_epw,1.29600000,2.12400000,0.70800000,0.58800000,0.00000000,0.58800000,0.70800000
2001-01-03 11:00:00,1.80000000,272.00000000,energyplus_epw,1.46880000,1.94400000,0.64800000,0.82080000,0.00000000,0.82080000,0.64800000
2001-01-03 12:00:00,2.70000000,266.00000000,energyplus_epw,1.43640000,1.83600000,0.61200000,0.82440000,0.00000000,0.82440000,0.61200000
2001-01-03 13:00:00,2.50000000,226.00000000,energyplus_epw,1.22040000,1.86000000,0.62000000,0.60040000,0.00000000,0.60040000,0.62000000
2001-01-03 14:00:00,2.20000000,159.00000000,energyplus_epw,0.85860000,1.89600000,0.63200000,0.22660000,0.00000000,0.22660000,0.63200000
2001-01-03 15:00:00,1.80000000,83.00000000,energyplus_epw,0.44820000,1.94400000,0.64800000,-0.19980000,0.19980000,0.00000000,0.44820000
2001-01-03 16:00:00,1.10000000,12.00000000,energyplus_epw,0.06480000,2.02800000,0.67600000,-0.61120000,0.61120000,0.00000000,0.06480000
2001-01-03 17:00:00,0.50000000,0.00000000,energyplus_epw,0.00000000,2.10000000,0.70000000,-0.70000000,0.70000000,0.00000000,0.00000000
2001-01-03 18:00:00,0.00000000,0.00000000,energyplus_epw,0.00000000,2.16000000,0.72000000,-0.72000000,0.72000000,0.00000000,0.00000000
2001-01-03 19:00:00,-0.30000000,0.00000000,energyplus_epw,0.00000000,2.19600000,0.73200000,-0.73200000,0.73200000,0.00000000,0.00000000
2001-01-03 20:00:00,-0.60000000,0.00000000,energyplus_epw,0.00000000,2.23200000,0.74400000,-0.74400000,0.74400000,0.00000000,0.00000000
2001-01-03 21:00:00,-1.00000000,0.00000000,energyplus_epw,0.00000000,2.28000000,0.76000000,-0.76000000,0.76000000,0.00000000,0.00000000
2001-01-03 22:00:00,-1.30000000,0.00000000,energyplus_epw,0.00000000,2.31600000,0.77200000,-0.77200000,0.77200000,0.00000000,0.00000000
2001-01-03 23:00:00,-1.80000000,0.00000000,energyplus_epw,0.00000000,2.37600000,0.79200000,-0.79200000,0.79200000,0.00000000,0.00000000
2001-01-04 00:00:00,-2.20000000,0.00000000,energyplus_epw,0.00000000,2.42400000,0.80800000,-0.80800000,0.80800000,0.00000000,0.00000000
2001-01-04 01:00:00,-2.30000000,0.00000000,energyplus_epw,0.00000000,2.43600000,0.81200000,-0.81200000,0.81200000,0.00000000,0.00000000
2001-01-04 02:00:00,-2.60000000,0.00000000,energyplus_epw,0.00000000,2.47200000,0.82400000,-0.82400000,0.82400000,0.00000000,0.00000000
2001-01-04 03:00:00,-2.70000000,0.00000000,energyplus_epw,0.00000000,2.48400000,0.82800000,-0.82800000,0.82800000,0.00000000,0.00000000
2001-01-04 04:00:00,-2.90000000,0.00000000,energyplus_epw,0.00000000,2.50800000,0.83600000,-0.83600000,0.83600000,0.00000000,0.00000000
2001-01-04 05:00:00,-3.00000000,0.00000000,energyplus_epw,0.00000000,2.52000000,0.84000000,-0.84000000,0.84000000,0.00000000,0.00000000
2001-01-04 06:00:00,-3.00000000,0.00000000,energyplus_epw,0.00000000,2.52000000,0.84000000,-0.84000000,0.84000000,0.00000000,0.00000000
2001-01-04 07:00:00,-3.00000000,16.00000000,energyplus_epw,0.08640000,2.52000000,0.84000000,-0.75360000,0.75360000,0.00000000,0.08640000
2001-01-04 08:00:00,-2.70000000,97.00000000,energyplus_epw,0.52380000,2.48400000,0.82800000,-0.30420000,0.30420000,0.00000000,0.52380000
2001-01-04 09:00:00,-2.60000000,178.00000000,energyplus_epw,0.96120000,2.47200000,0.82400000,0.13720000,0.00000000,0.13720000,0.82400000
2001-01-04 10:00:00,-2.00000000,240.00000000,energyplus_epw,1.29600000,2.40000000,0.80000000,0.49600000,0.00000000,0.49600000,0.80000000
2001-01-04 11:00:00,-1.30000000,273.00000000,energyplus_epw,1.47420000,2.31600000,0.77200000,0.70220000,0.00000000,0.70220000,0.77200000
2001-01-04 12:00:00,-1.00000000,267.00000000,energyplus_epw,1.44180000,2.28000000,0.76000000,0.68180000,0.00000000,0.68180000,0.76000000
2001-01-04 13:00:00,-0.10000000,227.00000000,energyplus_epw,1.22580000,2.17200000,0.72400000,0.50180000,0.00000000,0.50180000,0.72400000
2001-01-04 14:00:00,0.20000000,161.00000000,energyplus_epw,0.86940000,2.13600000,0.71200000,0.15740000,0.00000000,0.15740000,0.71200000
2001-01-04 15:00:00,0.20000000,84.00000000,energyplus_epw,0.45360000,2.13600000,0.71200000,-0.25840000,0.25840000,0.00000000,0.45360000
2001-01-04 16:00:00,-1.00000000,12.00000000,energyplus_epw,0.06480000,2.28000000,0.76000000,-0.69520000,0.69520000,0.00000000,0.06480000
2001-01-04 17:00:00,-2.00000000,0.00000000,energyplus_epw,0.00000000,2.40000000,0.80000000,-0.80000000,0.80000000,0.00000000,0.00000000
2001-01-04 18:00:00,-3.00000000,0.00000000,energyplus_epw,0.00000000,2.52000000,0.84000000,-0.84000000,0.84000000,0.00000000,0.00000000
2001-01-04 19:00:00,-3.60000000,0.00000000,energyplus_epw,0.00000000,2.59200000,0.86400000,-0.86400000,0.86400000,0.00000000,0.00000000
2001-01-04 20:00:00,-4.20000000,0.00000000,energyplus_epw,0.00000000,2.66400000,0.88800000,-0.88800000,0.88800000,0.00000000,0.00000000
2001-01-04 21:00:00,-4.70000000,0.00000000,energyplus_epw,0.00000000,2.72400000,0.90800000,-0.90800000,0.90800000,0.00000000,0.00000000
2001-01-04 22:00:00,-5.20000000,0.00000000,energyplus_epw,0.00000000,2.78400000,0.92800000,-0.92800000,0.92800000,0.00000000,0.00000000
2001-01-04 23:00:00,-5.50000000,0.00000000,energyplus_epw,0.00000000,2.82000000,0.94000000,-0.94000000,0.94000000,0.00000000,0.00000000
2001-01-05 00:00:00,-6.00000000,0.00000000,energyplus_epw,0.00000000,2.88000000,0.96000000,-0.96000000,0.96000000,0.00000000,0.00000000
2001-01-05 01:00:00,-6.20000000,0.00000000,energyplus_epw,0.00000000,2.90400000,0.96800000,-0.96800000,0.96800000,0.00000000,0.00000000
2001-01-05 02:00:00,-6.40000000,0.00000000,energyplus_epw,0.00000000,2.92800000,0.97600000,-0.97600000,0.97600000,0.00000000,0.00000000
2001-01-05 03:00:00,-6.40000000,0.00000000,energyplus_epw,0.00000000,2.92800000,0.97600000,-0.97600000,0.97600000,0.00000000,0.00000000
2001-01-05 04:00:00,-6.00000000,0.00000000,energyplus_epw,0.00000000,2.88000000,0.96000000,-0.96000000,0.96000000,0.00000000,0.00000000
2001-01-05 05:00:00,-5.50000000,0.00000000,energyplus_epw,0.00000000,2.82000000,0.94000000,-0.94000000,0.94000000,0.00000000,0.00000000
2001-01-05 06:00:00,-5.20000000,0.00000000,energyplus_epw,0.00000000,2.78400000,0.92800000,-0.92800000,0.92800000,0.00000000,0.00000000
2001-01-05 07:00:00,-5.00000000,16.00000000,energyplus_epw,0.08640000,2.76000000,0.92000000,-0.83360000,0.83360000,0.00000000,0.08640000
2001-01-05 08:00:00,-4.70000000,97.00000000,energyplus_epw,0.52380000,2.72400000,0.90800000,-0.38420000,0.38420000,0.00000000,0.52380000
2001-01-05 09:00:00,-4.00000000,178.00000000,energyplus_epw,0.96120000,2.64000000,0.88000000,0.08120000,0.00000000,0.08120000,0.88000000
2001-01-05 10:00:00,-1.80000000,241.00000000,energyplus_epw,1.30140000,2.37600000,0.79200000,0.50940000,0.00000000,0.50940000,0.79200000
2001-01-05 11:00:00,-0.30000000,273.00000000,energyplus_epw,1.47420000,2.19600000,0.73200000,0.74220000,0.00000000,0.74220000,0.73200000
2001-01-05 12:00:00,0.60000000,268.00000000,energyplus_epw,1.44720000,2.08800000,0.69600000,0.75120000,0.00000000,0.75120000,0.69600000
2001-01-05 13:00:00,0.80000000,228.00000000,energyplus_epw,1.23120000,2.06400000,0.68800000,0.54320000,0.00000000,0.54320000,0.68800000
2001-01-05 14:00:00,0.60000000,162.00000000,energyplus_epw,0.87480000,2.08800000,0.69600000,0.17880000,0.00000000,0.17880000,0.69600000
2001-01-05 15:00:00,0.00000000,85.00000000,energyplus_epw,0.45900000,2.16000000,0.72000000,-0.26100000,0.26100000,0.00000000,0.45900000
2001-01-05 16:00:00,-2.00000000,13.00000000,energyplus_epw,0.07020000,2.40000000,0.80000000,-0.72980000,0.72980000,0.00000000,0.07020000
2001-01-05 17:00:00,-3.30000000,0.00000000,energyplus_epw,0.00000000,2.55600000,0.85200000,-0.85200000,0.85200000,0.00000000,0.00000000
2001-01-05 18:00:00,-4.20000000,0.00000000,energyplus_epw,0.00000000,2.66400000,0.88800000,-0.88800000,0.88800000,0.00000000,0.00000000
2001-01-05 19:00:00,-3.00000000,0.00000000,energyplus_epw,0.00000000,2.52000000,0.84000000,-0.84000000,0.84000000,0.00000000,0.00000000
2001-01-05 20:00:00,-2.30000000,0.00000000,energyplus_epw,0.00000000,2.43600000,0.81200000,-0.81200000,0.81200000,0.00000000,0.00000000
2001-01-05 21:00:00,-2.20000000,0.00000000,energyplus_epw,0.00000000,2.42400000,0.80800000,-0.80800000,0.80800000,0.00000000,0.00000000
2001-01-05 22:00:00,-3.00000000,0.00000000,energyplus_epw,0.00000000,2.52000000,0.84000000,-0.84000000,0.84000000,0.00000000,0.00000000
2001-01-05 23:00:00,-3.70000000,0.00000000,energyplus_epw,0.00000000,2.60400000,0.86800000,-0.86800000,0.86800000,0.00000000,0.00000000
2001-01-06 00:00:00,-4.40000000,0.00000000,energyplus_epw,0.00000000,2.68800000,0.89600000,-0.89600000,0.89600000,0.00000000,0.00000000
2001-01-06 01:00:00,-5.00000000,0.00000000,energyplus_epw,0.00000000,2.76000000,0.92000000,-0.92000000,0.92000000,0.00000000,0.00000000
2001-01-06 02:00:00,-5.20000000,0.00000000,energyplus_epw,0.00000000,2.78400000,0.92800000,-0.92800000,0.92800000,0.00000000,0.00000000
2001-01-06 03:00:00,-5.40000000,0.00000000,energyplus_epw,0.00000000,2.80800000,0.93600000,-0.93600000,0.93600000,0.00000000,0.00000000
2001-01-06 04:00:00,-5.00000000,0.00000000,energyplus_epw,0.00000000,2.76000000,0.92000000,-0.92000000,0.92000000,0.00000000,0.00000000
2001-01-06 05:00:00,-4.50000000,0.00000000,energyplus_epw,0.00000000,2.70000000,0.90000000,-0.90000000,0.90000000,0.00000000,0.00000000
2001-01-06 06:00:00,-4.00000000,0.00000000,energyplus_epw,0.00000000,2.64000000,0.88000000,-0.88000000,0.88000000,0.00000000,0.00000000
2001-01-06 07:00:00,-3.20000000,16.00000000,energyplus_epw,0.08640000,2.54400000,0.84800000,-0.76160000,0.76160000,0.00000000,0.08640000
2001-01-06 08:00:00,-2.50000000,98.00000000,energyplus_epw,0.52920000,2.46000000,0.82000000,-0.29080000,0.29080000,0.00000000,0.52920000
2001-01-06 09:00:00,-2.00000000,178.00000000,energyplus_epw,0.96120000,2.40000000,0.80000000,0.16120000,0.00000000,0.16120000,0.80000000
2001-01-06 10:00:00,-1.70000000,242.00000000,energyplus_epw,1.30680000,2.36400000,0.78800000,0.51880000,0.00000000,0.51880000,0.78800000
2001-01-06 11:00:00,-1.30000000,274.00000000,energyplus_epw,1.47960000,2.31600000,0.77200000,0.70760000,0.00000000,0.70760000,0.77200000
2001-01-06 12:00:00,-1.10000000,269.00000000,energyplus_epw,1.45260000,2.29200000,0.76400000,0.68860000,0.00000000,0.68860000,0.76400000
2001-01-06 13:00:00,-0.70000000,229.00000000,energyplus_epw,1.23660000,2.24400000,0.74800000,0.48860000,0.00000000,0.48860000,0.74800000
2001-01-06 14:00:00,-0.50000000,163.00000000,energyplus_epw,0.88020000,2.22000000,0.74000000,0.14020000,0.00000000,0.14020000,0.74000000
2001-01-06 15:00:00,-0.60000000,86.00000000,energyplus_epw,0.46440000,2.23200000,0.74400000,-0.27960000,0.27960000,0.00000000,0.46440000
2001-01-06 16:00:00,-1.30000000,14.00000000,energyplus_epw,0.07560000,2.31600000,0.77200000,-0.69640000,0.69640000,0.00000000,0.07560000
2001-01-06 17:00:00,-2.10000000,0.00000000,energyplus_epw,0.00000000,2.41200000,0.80400000,-0.80400000,0.80400000,0.00000000,0.00000000
2001-01-06 18:00:00,-2.60000000,0.00000000,energyplus_epw,0.00000000,2.47200000,0.82400000,-0.82400000,0.82400000,0.00000000,0.00000000
2001-01-06 19:00:00,-2.50000000,0.00000000,energyplus_epw,0.00000000,2.46000000,0.82000000,-0.82000000,0.82000000,0.00000000,0.00000000
2001-01-06 20:00:00,-2.50000000,0.00000000,energyplus_epw,0.00000000,2.46000000,0.82000000,-0.82000000,0.82000000,0.00000000,0.00000000
2001-01-06 21:00:00,-2.60000000,0.00000000,energyplus_epw,0.00000000,2.47200000,0.82400000,-0.82400000,0.82400000,0.00000000,0.00000000
2001-01-06 22:00:00,-2.70000000,0.00000000,energyplus_epw,0.00000000,2.48400000,0.82800000,-0.82800000,0.82800000,0.00000000,0.00000000
2001-01-06 23:00:00,-2.90000000,0.00000000,energyplus_epw,0.00000000,2.50800000,0.83600000,-0.83600000,0.83600000,0.00000000,0.00000000
2001-01-07 00:00:00,-3.20000000,0.00000000,energyplus_epw,0.00000000,2.54400000,0.84800000,-0.84800000,0.84800000,0.00000000,0.00000000
2001-01-07 01:00:00,-3.30000000,0.00000000,energyplus_epw,0.00000000,2.55600000,0.85200000,-0.85200000,0.85200000,0.00000000,0.00000000
2001-01-07 02:00:00,-3.70000000,0.00000000,energyplus_epw,0.00000000,2.60400000,0.86800000,-0.86800000,0.86800000,0.00000000,0.00000000
2001-01-07 03:00:00,-4.00000000,0.00000000,energyplus_epw,0.00000000,2.64000000,0.88000000,-0.88000000,0.88000000,0.00000000,0.00000000
2001-01-07 04:00:00,-4.20000000,0.00000000,energyplus_epw,0.00000000,2.66400000,0.88800000,-0.88800000,0.88800000,0.00000000,0.00000000
2001-01-07 05:00:00,-4.40000000,0.00000000,energyplus_epw,0.00000000,2.68800000,0.89600000,-0.89600000,0.89600000,0.00000000,0.00000000
2001-01-07 06:00:00,-4.50000000,0.00000000,energyplus_epw,0.00000000,2.70000000,0.90000000,-0.90000000,0.90000000,0.00000000,0.00000000
2001-01-07 07:00:00,-4.70000000,16.00000000,energyplus_epw,0.08640000,2.72400000,0.90800000,-0.82160000,0.82160000,0.00000000,0.08640000
2001-01-07 08:00:00,-4.70000000,98.00000000,energyplus_epw,0.52920000,2.72400000,0.90800000,-0.37880000,0.37880000,0.00000000,0.52920000
2001-01-07 09:00:00,-4.50000000,179.00000000,energyplus_epw,0.96660000,2.70000000,0.90000000,0.06660000,0.00000000,0.06660000,0.90000000
2001-01-07 10:00:00,-4.20000000,242.00000000,energyplus_epw,1.30680000,2.66400000,0.88800000,0.41880000,0.00000000,0.41880000,0.88800000
2001-01-07 11:00:00,-3.70000000,275.00000000,energyplus_epw,1.48500000,2.60400000,0.86800000,0.61700000,0.00000000,0.61700000,0.86800000
2001-01-07 12:00:00,-3.60000000,270.00000000,energyplus_epw,1.45800000,2.59200000,0.86400000,0.59400000,0.00000000,0.59400000,0.86400000
2001-01-07 13:00:00,-3.10000000,230.00000000,energyplus_epw,1.24200000,2.53200000,0.84400000,0.39800000,0.00000000,0.39800000,0.84400000
2001-01-07 14:00:00,-2.90000000,164.00000000,energyplus_epw,0.88560000,2.50800000,0.83600000,0.04960000,0.00000000,0.04960000,0.83600000
2001-01-07 15:00:00,-3.00000000,87.00000000,energyplus_epw,0.46980000,2.52000000,0.84000000,-0.37020000,0.37020000,0.00000000,0.46980000
2001-01-07 16:00:00,-3.50000000,15.00000000,energyplus_epw,0.08100000,2.58000000,0.86000000,-0.77900000,0.77900000,0.00000000,0.08100000
2001-01-07 17:00:00,-4.00000000,0.00000000,energyplus_epw,0.00000000,2.64000000,0.88000000,-0.88000000,0.88000000,0.00000000,0.00000000
2001-01-07 18:00:00,-4.40000000,0.00000000,energyplus_epw,0.00000000,2.68800000,0.89600000,-0.89600000,0.89600000,0.00000000,0.00000000
2001-01-07 19:00:00,-4.50000000,0.00000000,energyplus_epw,0.00000000,2.70000000,0.90000000,-0.90000000,0.90000000,0.00000000,0.00000000
2001-01-07 20:00:00,-4.70000000,0.00000000,energyplus_epw,0.00000000,2.72400000,0.90800000,-0.90800000,0.90800000,0.00000000,0.00000000
2001-01-07 21:00:00,-5.00000000,0.00000000,energyplus_epw,0.00000000,2.76000000,0.92000000,-0.92000000,0.92000000,0.00000000,0.00000000
2001-01-07 22:00:00,-5.00000000,0.00000000,energyplus_epw,0.00000000,2.76000000,0.92000000,-0.92000000,0.92000000,0.00000000,0.00000000
2001-01-07 23:00:00,-5.20000000,0.00000000,energyplus_epw,0.00000000,2.78400000,0.92800000,-0.92800000,0.92800000,0.00000000,0.00000000
2001-01-08 00:00:00,-5.40000000,0.00000000,energyplus_epw,0.00000000,2.80800000,0.93600000,-0.93600000,0.93600000,0.00000000,0.00000000
2001-01-08 01:00:00,-5.20000000,0.00000000,energyplus_epw,0.00000000,2.78400000,0.92800000,-0.92800000,0.92800000,0.00000000,0.00000000
2001-01-08 02:00:00,-5.20000000,0.00000000,energyplus_epw,0.00000000,2.78400000,0.92800000,-0.92800000,0.92800000,0.00000000,0.00000000
2001-01-08 03:00:00,-5.40000000,0.00000000,energyplus_epw,0.00000000,2.80800000,0.93600000,-0.93600000,0.93600000,0.00000000,0.00000000
2001-01-08 04:00:00,-5.40000000,0.00000000,energyplus_epw,0.00000000,2.80800000,0.93600000,-0.93600000,0.93600000,0.00000000,0.00000000
2001-01-08 05:00:00,-5.50000000,0.00000000,energyplus_epw,0.00000000,2.82000000,0.94000000,-0.94000000,0.94000000,0.00000000,0.00000000
2001-01-08 06:00:00,-5.50000000,0.00000000,energyplus_epw,0.00000000,2.82000000,0.94000000,-0.94000000,0.94000000,0.00000000,0.00000000
2001-01-08 07:00:00,-5.50000000,17.00000000,energyplus_epw,0.09180000,2.82000000,0.94000000,-0.84820000,0.84820000,0.00000000,0.09180000
2001-01-08 08:00:00,-5.50000000,98.00000000,energyplus_epw,0.52920000,2.82000000,0.94000000,-0.41080000,0.41080000,0.00000000,0.52920000
2001-01-08 09:00:00,-5.50000000,179.00000000,energyplus_epw,0.96660000,2.82000000,0.94000000,0.02660000,0.00000000,0.02660000,0.94000000
2001-01-08 10:00:00,-5.50000000,243.00000000,energyplus_epw,1.31220000,2.82000000,0.94000000,0.37220000,0.00000000,0.37220000,0.94000000
2001-01-08 11:00:00,-5.50000000,276.00000000,energyplus_epw,1.49040000,2.82000000,0.94000000,0.55040000,0.00000000,0.55040000,0.94000000
